Loop_Date,Ativo,Entradas,Acuracia,Lucro_medio,Lucro_Max,Drowndown_max,Saldo,Rastreador,Gatilho,Ultimos3,Am1,Am2,Amanha,Operou_Dia,Close_D0,Gatilho_Dia,PNL,PNL_per_Entry
2024-10-07,MTRE3,17,0.71,1.96,4.47,-4.58,58539.0,MTRE3_Down_0.5_low_Afastado_0.5_Sell_GAP,3.37,0.75,0.71,0.71,1,True,3.36,3.37,0.0100000000000002,0.0005882352941176588
2024-10-07,OPCT3,20,0.75,1.83,4.56,-1.56,62742.0,OPCT3_Up_1.5_open_Afastado_0.5_Buy_Corpo,6.81,1.0,0.75,0.75,1,True,6.92,6.81,0.1100000000000003,0.005500000000000015
2024-10-07,EVEN3,16,0.81,1.66,6.2,-2.28,59661.0,EVEN3_Up_0.5_low_Afastado_-0.5_Buy_Corpo,6.44,0.75,0.81,0.81,1,False,6.85,6.44,0.4099999999999992,0.02562499999999995
2024-10-07,SHUL4,48,0.73,1.61,5.2,-3.68,72282.0,SHUL4_Down_1_close_Afastado_1_Sell_Corpo,5.99,0.75,0.73,0.73,1,True,5.94,5.99,0.0499999999999998,0.0010416666666666625
2024-10-07,ORVR3,31,0.77,1.21,3.72,-4.23,60857.0,ORVR3_Up_0.5_low_Afastado_-1_Buy_Movimento,45.07,0.75,0.77,0.77,1,False,45.98,45.07,0.9099999999999966,0.029354838709677308
2024-10-07,GGBR4,28,0.75,1.19,3.13,-2.82,61378.0,GGBR4_Up_0.5_low_Afastado_-1_Sell_Movimento,18.04,1.0,0.75,0.75,1,False,18.86,18.04,-0.8200000000000003,-0.029285714285714297
2024-10-07,ODPV3,47,0.72,1.1,5.49,-4.18,61592.0,ODPV3_Down_0.5_open_Afastado_1_Sell_Pavio,10.48,1.0,0.72,0.72,1,True,10.76,10.48,-0.2799999999999993,-0.005957446808510624
2024-10-08,VTRU3,21,0.71,2.95,6.35,-4.75,64922.0,VTRU3_Down_1.5_open_Afastado_-0.5_Sell_Corpo,9.2,1.0,0.71,0.71,1,True,9.36,9.2,-0.1600000000000001,-0.007619047619047623
2024-10-08,CASH3,11,0.73,2.84,5.71,-3.3,58275.0,CASH3_Down_4_close_Afastado_-0.5_Buy_Corpo,3.66,0.75,0.73,0.73,1,True,3.62,3.66,-0.04,-0.0036363636363636364
2024-10-08,YDUQ3,12,0.75,2.61,5.62,-4.99,58134.0,YDUQ3_Up_0.5_open_Afastado_1_Sell_GAP,10.07,0.75,0.75,0.75,1,True,10.28,10.07,-0.209999999999999,-0.017499999999999915
2024-10-08,WIZC3,30,0.77,2.07,4.77,-4.44,70665.0,WIZC3_Up_2_opendia_Afastado_-0.5_Sell_Corpo,opendia_-0.005,0.75,0.77,0.77,1,True,5.81,5.80085,-0.0091499999999999,-0.0003049999999999966
2024-10-08,SBFG3,13,0.85,1.98,5.33,-2.42,58967.0,SBFG3_Down_2_open_Afastado_0_Sell_Corpo,14.26,1.0,0.85,0.85,1,False,14.14,14.26,0.1199999999999992,0.00923076923076917
2024-10-08,USIM3,36,0.75,1.87,5.57,-3.99,69466.0,USIM3_Down_0.5_high_Afastado_0_Buy_Movimento,6.16,1.0,0.75,0.75,1,False,5.91,6.16,-0.25,-0.006944444444444444
2024-10-08,SIMH3,29,0.72,1.86,6.06,-4.43,64047.0,SIMH3_Down_2_low_Afastado_-1_Sell_Corpo,5.01,0.75,0.72,0.72,1,True,5.1,5.01,-0.0899999999999998,-0.0031034482758620623
2024-10-08,BRAV3,19,0.74,1.71,6.62,-2.62,58817.0,BRAV3_Up_1_low_Afastado_0_Buy_Corpo,18.02,0.75,0.74,0.74,1,True,17.91,18.02,-0.1099999999999994,-0.0057894736842104945
2024-10-08,PRNR3,18,0.72,1.69,4.04,-4.41,58985.0,PRNR3_Down_1_high_Afastado_0_Buy_Corpo,12.48,0.75,0.72,0.72,1,False,12.15,12.48,-0.33,-0.018333333333333333
2024-10-08,BRFS3,18,0.72,1.67,5.0,-3.74,59503.0,BRFS3_Down_2.5_opendia_Afastado_1_Buy_Corpo,opendia_0.01,0.75,0.72,0.72,1,True,22.56,22.3412,0.2187999999999981,0.01215555555555545
2024-10-09,COGN3,14,0.71,2.62,6.01,-3.47,61589.0,COGN3_Up_3_opendia_Afastado_1_Sell_Corpo,opendia_0.01,1.0,0.71,0.71,1,False,1.29,1.3736000000000002,0.0836000000000001,0.005971428571428579
2024-10-09,VTRU3,14,0.86,2.27,4.36,-3.59,62419.0,VTRU3_Up_1_opendia_Afastado_-0.5_Sell_Corpo,opendia_-0.005,1.0,0.86,0.86,1,True,9.09,9.2933,0.2033000000000004,0.0145214285714286
2024-10-09,MATD3,19,0.74,2.02,5.17,-3.74,61629.0,MATD3_Down_0.5_opendia_Afastado_1_Buy_GAP,opendia_0.01,1.0,0.74,0.74,1,False,4.29,4.5551,-0.2650999999999994,-0.013952631578947336
2024-10-09,PETZ3,20,0.8,1.96,5.93,-4.36,63485.0,PETZ3_Down_0.5_high_Afastado_0.5_Sell_GAP,4.59,1.0,0.8,0.8,1,False,4.44,4.59,0.1499999999999994,0.00749999999999997
2024-10-09,USIM3,36,0.75,1.87,5.57,-3.99,69466.0,USIM3_Down_0.5_high_Afastado_0_Buy_Movimento,6.03,1.0,0.75,0.75,1,True,6.12,6.03,0.0899999999999998,0.0024999999999999944
2024-10-09,SBSP3,14,0.79,1.84,5.98,-1.41,58864.0,SBSP3_Up_1.5_open_Afastado_1_Buy_Corpo,86.76,0.75,0.79,0.79,1,True,86.08,86.76,-0.6800000000000068,-0.04857142857142906
2024-10-09,VITT3,19,0.74,1.66,4.29,-2.06,59759.0,VITT3_Up_0.5_low_Afastado_-0.5_Buy_Corpo,5.36,1.0,0.74,0.74,1,True,5.37,5.36,0.0099999999999997,0.0005263157894736685
2024-10-09,DIRR3,24,0.71,1.39,3.61,-4.15,58110.0,DIRR3_Up_1_high_Afastado_1_Buy_Corpo,28.12,0.75,0.71,0.71,1,False,27.18,28.12,-0.9400000000000012,-0.03916666666666672
2024-10-09,ORVR3,31,0.77,1.21,3.72,-4.23,60857.0,ORVR3_Up_0.5_low_Afastado_-1_Buy_Movimento,45.01,0.75,0.77,0.77,1,False,45.57,45.01,0.5600000000000023,0.018064516129032333
2024-10-09,ECOR3,24,0.79,1.11,4.35,-4.98,58237.0,ECOR3_Up_1_open_Afastado_-0.5_Sell_Corpo,6.8,0.75,0.79,0.79,1,True,6.73,6.8,0.0699999999999994,0.0029166666666666416
2024-10-10,VTRU3,8,0.75,3.72,6.35,-4.75,58738.0,VTRU3_Down_2.5_open_Afastado_-0.5_Sell_Corpo,9.29,1.0,0.75,0.75,1,True,9.35,9.29,-0.0600000000000005,-0.007500000000000062
2024-10-10,SMTO3,15,0.87,2.49,5.37,-3.12,64207.0,SMTO3_Down_3_low_Afastado_1_Sell_Corpo,26.7,0.75,0.87,0.87,1,False,26.05,26.7,0.6499999999999986,0.04333333333333324
2024-10-10,COGN3,15,0.73,2.31,5.15,-4.78,60017.0,COGN3_Down_3.5_close_Afastado_-0.5_Sell_Corpo,1.28,1.0,0.73,0.73,1,True,1.29,1.28,-0.01,-0.0006666666666666666
2024-10-10,POSI3,15,0.73,2.24,4.25,-2.8,59896.0,POSI3_Down_0.5_open_Afastado_1_Sell_Movimento,5.86,1.0,0.73,0.73,1,False,5.65,5.86,0.2099999999999999,0.013999999999999993
2024-10-10,HBSA3,30,0.73,2.15,6.23,-4.82,68881.0,HBSA3_Down_2_opendia_Afastado_0_Buy_Corpo,opendia_0.0,1.0,0.73,0.73,1,True,3.04,3.01,0.0300000000000002,0.0010000000000000067
2024-10-10,MRFG3,11,0.82,2.03,6.33,-4.31,58531.0,MRFG3_Down_2_open_Afastado_-1_Buy_Corpo,11.4,1.0,0.82,0.82,1,False,11.26,11.4,-0.1400000000000005,-0.012727272727272775
2024-10-10,MATD3,19,0.74,2.02,5.17,-3.74,61629.0,MATD3_Down_0.5_opendia_Afastado_1_Buy_GAP,opendia_0.01,1.0,0.74,0.74,1,True,4.42,4.3329,0.0870999999999995,0.004584210526315763
2024-10-10,SBFG3,13,0.85,1.98,5.33,-2.42,58967.0,SBFG3_Down_2_open_Afastado_0_Sell_Corpo,14.1,1.0,0.85,0.85,1,False,13.97,14.1,0.129999999999999,0.009999999999999924
2024-10-10,SRNA3,17,0.82,1.7,4.82,-4.8,60158.0,SRNA3_Down_3_opendia_Afastado_0_Sell_Corpo,opendia_0.0,0.75,0.82,0.82,1,True,7.89,7.88,-0.0099999999999997,-0.0005882352941176294
2024-10-10,PRNR3,18,0.72,1.69,4.04,-4.41,58985.0,PRNR3_Down_1_high_Afastado_0_Buy_Corpo,12.27,0.75,0.72,0.72,1,False,12.08,12.27,-0.1899999999999995,-0.010555555555555528
2024-10-11,VTRU3,15,0.87,2.26,4.36,-3.59,63499.0,VTRU3_Up_1_opendia_Afastado_-0.5_Sell_Corpo,opendia_-0.005,1.0,0.87,0.87,1,True,9.26,9.353,0.0929999999999999,0.006199999999999994
2024-10-11,USIM3,36,0.78,1.85,5.57,-3.99,70766.0,USIM3_Down_0.5_high_Afastado_0_Buy_Movimento,6.2,1.0,0.78,0.78,1,False,6.08,6.2,-0.1200000000000001,-0.003333333333333336
2024-10-11,JHSF3,15,0.73,1.83,3.74,-2.92,58517.0,JHSF3_Down_2.5_opendia_Afastado_1_Buy_Corpo,opendia_0.01,1.0,0.73,0.73,1,False,3.97,4.1208,-0.1507999999999998,-0.01005333333333332
2024-10-11,OPCT3,21,0.76,1.81,4.56,-1.56,63545.0,OPCT3_Up_1.5_open_Afastado_0.5_Buy_Corpo,6.65,1.0,0.76,0.76,1,True,6.85,6.65,0.1999999999999993,0.00952380952380949
2024-10-11,VITT3,20,0.75,1.56,4.29,-2.06,59852.0,VITT3_Up_0.5_low_Afastado_-0.5_Buy_Corpo,5.27,1.0,0.75,0.75,1,False,5.39,5.27,0.1200000000000001,0.006000000000000005
2024-10-11,LOGG3,52,0.73,1.36,5.53,-4.72,67714.0,LOGG3_Down_1_close_Afastado_-0.5_Buy_Corpo,20.14,0.75,0.73,0.72,1,True,19.89,20.14,-0.25,-0.004807692307692308
