Loop_Date,Ativo,Entradas,Acuracia,Lucro_medio,Lucro_Max,Drowndown_max,Saldo,Rastreador,Gatilho,Ultimos3,Am1,Am2,Amanha,Operou_Dia,Close_D0,Gatilho_Dia,PNL
2024-02-08,UBER,42,0.79,1.27,5.04,-4.14,66317.0,UBER_Up_0.5_opendia_Afastado_-0.5_Buy_Pavio,opendia_-0.005,1.0,0.79,0.79,1,True,71.61,71.57035,0.039649999999994634
2024-02-08,PANW,28,0.71,1.76,4.46,-3.74,63539.0,PANW_Up_0.5_opendia_Afastado_0_Buy_GAP,opendia_0.0,0.75,0.71,0.71,1,True,183.51,181.61,1.8999999999999773
2024-02-08,KKR,31,0.74,1.33,3.75,-2.68,62370.0,KKR_Up_0.5_close_Afastado_-0.5_Buy_Pavio,94.26,0.75,0.74,0.74,1,False,96.55,94.26,2.289999999999992
2024-02-08,LEN,26,0.73,1.32,3.33,-2.57,60765.0,LEN_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,1.0,0.73,0.73,1,True,153.29,152.38425,0.9057499999999834
2024-02-08,BLK,33,0.76,0.85,3.42,-2.0,60461.0,BLK_Up_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,0.75,0.76,0.76,1,True,793.2,794.06,-0.8599999999999
2024-02-08,BX,25,0.72,1.44,5.79,-4.14,60396.0,BX_Up_0.5_opendia_Afastado_0_Buy_GAP,opendia_0.0,0.75,0.72,0.72,1,True,127.84,125.75,2.0900000000000034
2024-02-08,EFX,32,0.72,1.25,3.97,-2.86,60290.0,EFX_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,0.75,0.72,0.72,1,True,252.06,249.95395000000002,2.106049999999982
2024-02-08,PCAR,28,0.79,0.99,4.33,-1.21,59964.0,PCAR_Down_0.5_high_Afastado_-1_Buy_GAP,104.55,0.75,0.79,0.79,1,False,105.61,104.55,1.0600000000000023
2024-02-08,ADSK,34,0.71,1.12,3.05,-2.23,59946.0,ADSK_Up_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,0.75,0.71,0.71,1,True,261.51,258.08,3.430000000000007
2024-02-08,SNPS,17,0.76,1.59,5.41,-3.09,59922.0,SNPS_Up_0.5_open_Afastado_-0.5_Sell_Movimento,543.27,1.0,0.76,0.76,1,False,570.69,543.27,-27.420000000000073
2024-02-08,MTB,16,0.81,1.76,5.19,-2.5,59880.0,MTB_Down_0.5_opendia_Afastado_0_Buy_Corpo,opendia_0.0,0.75,0.81,0.81,1,True,131.62,129.63,1.990000000000009
2024-02-08,PNC,31,0.74,1.17,3.4,-2.52,59606.0,PNC_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,0.75,0.74,0.74,1,True,147.93,146.43415,1.4958500000000186
2024-02-08,DHI,29,0.76,1.1,4.45,-4.71,59592.0,DHI_Up_0.5_opendia_Afastado_0_Buy_GAP,opendia_0.0,0.75,0.76,0.76,1,True,144.58,145.03,-0.44999999999998863
2024-02-08,XYZ,16,0.81,1.6,5.73,-1.99,59562.0,XYZ_Down_0.5_high_Afastado_-0.5_Buy_GAP,68.5,0.75,0.81,0.81,1,True,68.83,68.5,0.3299999999999983
2024-02-08,PRU,57,0.75,0.64,3.3,-3.23,59515.0,PRU_Down_0.5_opendia_Afastado_0_Buy_Pavio,opendia_0.0,1.0,0.75,0.74,1,True,108.61,108.74,-0.12999999999999545
2024-02-08,CMI,26,0.81,1.05,4.36,-2.09,59480.0,CMI_Down_0.5_opendia_Afastado_-0.5_Buy_Movimento,opendia_-0.005,0.75,0.81,0.81,1,False,249.92,246.76,3.1599999999999966
2024-02-08,SCHW,30,0.77,1.13,4.28,-2.57,59384.0,SCHW_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,1.0,0.77,0.77,1,True,62.47,61.9288,0.5411999999999964
2024-02-08,ABNB,21,0.71,1.46,4.76,-2.4,59196.0,ABNB_Up_0.5_opendia_Afastado_0.5_Buy_Movimento,opendia_0.005,0.75,0.71,0.71,1,True,150.54,149.99624999999997,0.543750000000017
2024-02-08,CCL,34,0.71,1.55,4.88,-4.74,59101.0,CCL_Down_0.5_opendia_Afastado_0.5_Buy_Pavio,opendia_0.005,1.0,0.71,0.71,1,True,15.69,15.7182,-0.028200000000000003
2024-02-08,ISRG,30,0.77,1.1,5.25,-2.14,59088.0,ISRG_Up_0.5_opendia_Afastado_-0.5_Buy_Movimento,opendia_-0.005,1.0,0.77,0.77,1,True,386.94,387.56245,-0.6224500000000148
2024-02-09,REGN,39,0.72,0.95,3.56,-2.02,67374.0,REGN_Up_0.5_close_Afastado_-0.5_Buy_Pavio,941.7,0.75,0.72,0.72,1,False,953.42,941.7,11.719999999999914
2024-02-09,UBER,43,0.79,1.24,5.04,-4.14,66345.0,UBER_Up_0.5_opendia_Afastado_-0.5_Buy_Pavio,opendia_-0.005,1.0,0.79,0.79,1,True,70.91,71.07285,-0.16285000000000593
2024-02-09,FTNT,23,0.78,1.55,4.63,-2.4,62890.0,FTNT_Down_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,0.75,0.78,0.78,1,True,70.44,68.25,2.1899999999999977
2024-02-09,KKR,31,0.74,1.33,3.75,-2.68,62370.0,KKR_Up_0.5_close_Afastado_-0.5_Buy_Pavio,96.07,0.75,0.74,0.74,1,False,97.03,96.07,0.960000000000008
2024-02-09,WSM,23,0.74,1.6,5.88,-1.85,62077.0,WSM_Up_0.5_opendia_Afastado_0.5_Buy_Corpo,opendia_0.005,0.75,0.74,0.74,1,True,110.0,108.82139999999998,1.1786000000000172
2024-02-09,CRWD,26,0.81,1.37,2.68,-2.5,61688.0,CRWD_Up_0.5_close_Afastado_-1_Buy_GAP,319.81,0.75,0.81,0.81,1,False,329.34,319.81,9.529999999999973
2024-02-09,CBRE,34,0.71,1.27,4.85,-1.7,61526.0,CBRE_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,0.75,0.71,0.71,1,True,86.55,85.4705,1.079499999999996
2024-02-09,LEN,27,0.74,1.28,3.33,-2.57,61038.0,LEN_Up_0.5_opendia_Afastado_-0.5_Buy_GAP,opendia_-0.005,1.0,0.74,0.74,1,True,153.02,152.25490000000002,0.7650999999999897
2024-02-09,ADSK,35,0.71,1.13,3.05,-2.23,60632.0,ADSK_Up_0.5_opendia_Afastado_0_Buy_Movimento,opendia_0.0,0.75,0.71,0.71,1,True,266.68,262.85,3.829999999999984
2024-02-09,PYPL,16,0.88,1.7,3.78,-3.35,60254.0,PYPL_Down_0.5_opendia_Afastado_0.5_Buy_GAP,opendia_0.005,0.75,0.88,0.88,1,True,58.91,56.480999999999995,2.429000000000002
